batch_id,pair_id,repeat_id,user_profile,room_id,room_type,member_count,crypto_mode,room_creation_ms,add_members_ms,session_setup_ms,message_encrypt_ms,message_encrypt_pure_ms,message_decrypt_ms,total_setup_ms,setup_time_ms,rotation_time_ms,encrypt_steady_state_ms,device_type,architecture,cpu_cores,cpu_freq_mhz,rotation_policy,actual_rotations,kem_handshake_bytes,olm_session_bytes,megolm_session_bytes,message_overhead_bytes,total_bandwidth_bytes,num_ratchet_advances,num_asymmetric_advances,num_rotation_messages,bandwidth_agreement,bandwidth_agreement_classical,bandwidth_agreement_pqc,bandwidth_initial_distribution,bandwidth_initial_distribution_classical,bandwidth_initial_distribution_pqc,bandwidth_rotation,bandwidth_rotation_classical,bandwidth_rotation_pqc,bandwidth_megolm_messages,bandwidth_control_plane,bandwidth_data_plane,bandwidth_agreement_primitives_identity_keys,bandwidth_agreement_primitives_otk,bandwidth_agreement_primitives_kyber1024,bandwidth_agreement_primitives_prekey_overhead,bandwidth_initial_distribution_primitives_megolm_key,bandwidth_initial_distribution_primitives_ratchet_key,bandwidth_initial_distribution_primitives_kem_ct,bandwidth_initial_distribution_primitives_olm_overhead,bandwidth_rotation_primitives_megolm_key,bandwidth_rotation_primitives_ratchet_key,bandwidth_rotation_primitives_kem_ct,bandwidth_rotation_primitives_olm_overhead
20260201_124053,pair_0,0,@alice:matrix.org,!dm_1:matrix.org,DM,2,Classical,0.0016380000000000001,0.098443,0.521971,0.269384778,0.236612748,0.126288946,0.6220519999999999,0.521971,3.316476,0.236612748,Desktop,x86_64,8,3595,Paranoid,20,96,664,13280,20670592,41369264,0,0,20,110,110,0,664,664,0,13280,13280,0,20670592,14040,20670592,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!dm_2:matrix.org,DM,2,Classical,0.000402,0.068052,0.448683,0.252900546,0.240364156,0.13404191,0.517137,0.448683,2.755979,0.240364156,Desktop,x86_64,8,400,Paranoid,20,96,664,13280,20670592,41369264,0,0,20,110,110,0,664,664,0,13280,13280,0,20670592,14040,20670592,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!dm_3:matrix.org,DM,2,Classical,0.000367,0.08035,0.41614,0.224573728,0.219245204,0.113310844,0.496857,0.41614,2.7168880000000004,0.219245204,Desktop,x86_64,8,2100,Paranoid,20,96,664,13280,20670592,41369264,0,0,20,110,110,0,664,664,0,13280,13280,0,20670592,14040,20670592,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!dm_4:matrix.org,DM,2,Classical,0.00034700000000000003,0.076047,0.43283,0.2219751,0.205791184,0.111471592,0.509224,0.43283,2.6683290000000004,0.205791184,Desktop,x86_64,8,3011,Paranoid,20,96,664,13280,20670592,41369264,0,0,20,110,110,0,664,664,0,13280,13280,0,20670592,14040,20670592,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!dm_5:matrix.org,DM,2,Classical,0.00032300000000000004,0.082543,0.431871,0.225153642,0.21604969,0.115461924,0.514737,0.431871,2.6714599999999997,0.21604969,Desktop,x86_64,8,788,Paranoid,20,96,664,13280,20670592,41369264,0,0,20,110,110,0,664,664,0,13280,13280,0,20670592,14040,20670592,64,32,0,14,308,0,0,0,6160,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!small_1:matrix.org,SmallGroup,7,Classical,0.000402,0.21979500000000002,2.292582,0.26231004,0.2322212746666667,0.131929036,2.512779,2.292582,14.719465999999995,0.2322212746666667,Desktop,x86_64,8,399,Paranoid,30,576,3984,119520,36556432,73361024,0,0,180,662,662,0,3984,3984,0,119520,119520,0,36556432,124080,36556432,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!small_2:matrix.org,SmallGroup,7,Classical,0.000345,0.21205200000000002,2.301236,0.273003812,0.24059021066666667,0.12462116933333334,2.513633,2.301236,16.551097999999996,0.24059021066666667,Desktop,x86_64,8,749,Paranoid,30,576,3984,119520,36556432,73361024,0,0,180,662,662,0,3984,3984,0,119520,119520,0,36556432,124080,36556432,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!small_3:matrix.org,SmallGroup,7,Classical,0.000472,0.22882999999999998,2.244348,0.2604897213333333,0.23752526000000002,0.126620756,2.47365,2.244348,15.255001000000005,0.23752526000000002,Desktop,x86_64,8,1121,Paranoid,30,576,3984,119520,36556432,73361024,0,0,180,662,662,0,3984,3984,0,119520,119520,0,36556432,124080,36556432,384,192,0,86,1848,0,0,0,55440,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!medium_1:matrix.org,MediumGroup,25,Classical,0.001333,0.828809,9.055755,1.425072105,1.5030517949999997,0.631012111,9.885897,9.055755,76.19446600000005,1.5030517949999997,Desktop,x86_64,8,2060,Paranoid,40,2304,15936,637440,259748968,520809296,0,0,960,2649,2649,0,15936,15936,0,637440,637440,0,259748968,655680,259748968,1536,768,0,345,7392,0,0,0,295680,0,0,0
20260201_124053,pair_0,0,@alice:matrix.org,!medium_2:matrix.org,MediumGroup,25,Classical,0.0006349999999999999,0.8321379999999999,10.749814,1.4586527249999999,1.510793294,0.62815444,11.582587,10.749814,83.35508100000003,1.510793294,Desktop,x86_64,8,1476,Paranoid,40,2304,15936,637440,259748968,520809296,0,0,960,2649,2649,0,15936,15936,0,637440,637440,0,259748968,655680,259748968,1536,768,0,345,7392,0,0,0,295680,0,0,0
